datetime,open,high,low,close,volume
2024-02-09 00:00:00,196.4,200.52,195.16,199.72,662191
2024-02-12 00:00:00,201.0,201.2,196.54,198.06,622483
2024-02-13 00:00:00,198.46,199.56,196.06,197.5,432810
2024-02-14 00:00:00,197.56,198.4,196.04,196.58,418590
2024-02-15 00:00:00,196.92,199.6,194.62,199.56,720827
2024-02-16 00:00:00,199.7,201.5,196.72,198.76,949410
2024-02-19 00:00:00,198.96,201.38,197.0,197.82,737403
2024-02-20 00:00:00,197.8,198.76,188.28,190.64,967240
2024-02-21 00:00:00,190.32,192.8,186.72,189.78,687748
2024-02-22 00:00:00,190.24,194.46,189.22,193.3,652857
2024-02-26 00:00:00,193.34,197.7,193.3,197.52,640827
2024-02-27 00:00:00,197.34,199.3,196.4,197.24,551367
2024-02-28 00:00:00,197.32,198.66,197.02,197.14,304127
2024-02-29 00:00:00,197.0,200.4,196.52,200.34,409821
2024-03-01 00:00:00,200.46,206.96,200.24,205.92,1744132
2024-03-04 00:00:00,206.6,207.56,202.84,204.54,833698
2024-03-05 00:00:00,204.94,205.48,202.94,205.0,295527
2024-03-06 00:00:00,205.1,209.96,204.1,206.68,807094
2024-03-07 00:00:00,206.4,208.34,205.2,207.28,364899
2024-03-11 00:00:00,207.32,208.82,204.18,205.24,464527
2024-03-12 00:00:00,205.0,205.66,202.74,205.18,451875
2024-03-13 00:00:00,205.6,207.4,204.68,204.84,308001
2024-03-14 00:00:00,204.4,207.94,202.02,205.66,786675
2024-03-15 00:00:00,205.3,209.42,204.72,209.0,792079
2024-03-18 00:00:00,210.0,211.4,207.1,209.18,751917
2024-03-19 00:00:00,209.16,209.16,205.2,206.32,408439
2024-03-20 00:00:00,205.46,212.74,205.46,212.0,1221407
2024-03-21 00:00:00,212.78,218.56,209.7,218.5,1428092
2024-03-22 00:00:00,217.98,219.62,212.62,214.14,1310352
2024-03-25 00:00:00,214.5,221.2,214.42,221.02,1089813
2024-03-26 00:00:00,221.9,222.0,219.36,221.8,484264
2024-03-27 00:00:00,222.0,223.46,220.3,222.6,521375
2024-03-28 00:00:00,223.5,223.5,220.0,220.34,375692
2024-03-29 00:00:00,220.2,223.0,218.58,221.4,590813
2024-04-01 00:00:00,222.2,222.72,218.74,218.86,407531
2024-04-02 00:00:00,219.0,221.3,218.08,220.26,394169
2024-04-03 00:00:00,220.48,222.4,220.06,221.54,420630
2024-04-04 00:00:00,221.58,223.46,219.08,220.24,552618
2024-04-05 00:00:00,220.26,221.32,218.12,218.5,825099
2024-04-08 00:00:00,218.5,221.38,212.12,218.12,1676864
2024-04-09 00:00:00,218.24,219.68,213.74,215.9,787434
2024-04-10 00:00:00,215.9,228.32,214.26,226.08,3866846
2024-04-11 00:00:00,227.8,229.14,226.1,227.36,1696941
2024-04-12 00:00:00,227.8,229.46,226.54,228.12,948558
2024-04-15 00:00:00,228.2,230.86,228.2,229.7,876846
2024-04-16 00:00:00,230.12,230.7,227.62,228.38,681778
2024-04-17 00:00:00,228.0,228.92,226.0,226.5,702663
2024-04-18 00:00:00,227.0,227.98,225.64,227.54,384468
2024-04-19 00:00:00,227.68,228.38,225.98,226.2,475553
2024-04-22 00:00:00,226.6,227.8,226.3,227.12,391168
2024-04-23 00:00:00,227.58,231.18,226.9,228.58,850140
2024-04-24 00:00:00,228.24,230.4,226.06,228.86,552102
2024-04-25 00:00:00,228.94,229.74,227.62,228.7,375170
